Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PC00,,Available,,,,,,NORMAL
4,PC01,DVC_ADDR,ADC0_AIN9,Analog,High Impedance,n/a,,,NORMAL
5,PC02,,Available,,,,,,NORMAL
6,PC03,,Available,,,,,,NORMAL
7,PA02,,Available,,,,,,NORMAL
8,PA03,IOXP_CS,GPIO,Digital,Out,High,,,NORMAL
9,PB04,STATUS_4671,GPIO,Digital,In,n/a,No,No,NORMAL
10,PB05,,Available,,,,,,NORMAL
13,PB06,,Available,,,,,,NORMAL
14,PB07,FLASH_SPI_nCS,GPIO,Digital,Out,Low,,,NORMAL
15,PB08,EN_4671,GPIO,Digital,Out,Low,,,NORMAL
16,PB09,RST_4671,GPIO,Digital,Out,Low,,,NORMAL
17,PA04,SPI0_MOSI,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
18,PA05,SPI0_SCK,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
19,PA06,SPI0_MISO,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
20,PA07,nCS_4671,GPIO,Digital,Out,High,,,NORMAL
21,PC05,,Available,,,,,,NORMAL
22,PC06,,Available,,,,,,NORMAL
23,PC07,,Available,,,,,,NORMAL
26,PA08,,Available,,,,,,NORMAL
27,PA09,DBG_LED3,GPIO,Digital,Out,Low,,,NORMAL
28,PA10,CLK25M,GCLK_IO4,Digital,High Impedance,n/a,No,No,NORMAL
29,PA11,,Available,,,,,,NORMAL
30,PB10,,Available,,,,,,NORMAL
31,PB11,,Available,,,,,,NORMAL
32,PB12,,Available,,,,,,NORMAL
33,PB13,,Available,,,,,,NORMAL
34,PB14,CAN1_TX,CAN1_TX,Digital,High Impedance,n/a,No,No,NORMAL
35,PB15,CAN1_RX,CAN1_RX,Digital,High Impedance,n/a,No,No,NORMAL
38,PC08,,Available,,,,,,NORMAL
39,PC09,,Available,,,,,,NORMAL
40,PC10,,Available,,,,,,NORMAL
41,PC11,,Available,,,,,,NORMAL
42,PC12,UART_DBG_TX,SERCOM7_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
43,PC13,,Available,,,,,,NORMAL
44,PC14,,Available,,,,,,NORMAL
45,PC15,UART_DBG_RX,SERCOM7_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
46,PA12,,Available,,,,,,NORMAL
47,PA13,,Available,,,,,,NORMAL
48,PA14,DBG_LED2,GPIO,Digital,Out,Low,,,NORMAL
49,PA15,DBG_LED1,GPIO,Digital,Out,Low,,,NORMAL
52,PA16,,Available,,,,,,NORMAL
53,PA17,,Available,,,,,,NORMAL
54,PA18,,Available,,,,,,NORMAL
55,PA19,,Available,,,,,,NORMAL
56,PC16,ROTENC_DIR,EIC_EXTINT8,Digital,High Impedance,n/a,No,No,NORMAL
57,PC17,ROTENC_Z,EIC_EXTINT9,Digital,High Impedance,n/a,No,No,NORMAL
58,PC18,LIM_RT,EIC_EXTINT10,Digital,High Impedance,n/a,No,No,NORMAL
59,PC19,,Available,,,,,,NORMAL
60,PC20,LIM_LFT,EIC_EXTINT12,Digital,High Impedance,n/a,No,No,NORMAL
61,PC21,DIAG,EIC_EXTINT13,Digital,High Impedance,n/a,No,No,NORMAL
64,PB16,FOC_UART_TX,SERCOM5_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
65,PB17,FOC_UART_RX,SERCOM5_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
66,PB18,,Available,,,,,,NORMAL
67,PB19,INDEX_SEL,GPIO,Digital,Out,Low,,,NORMAL
68,PB20,FLASH_CS,GPIO,Digital,Out,High,,,NORMAL
69,PB21,IOXP_INT,EIC_EXTINT5,Digital,High Impedance,n/a,No,No,NORMAL
70,PA20,,Available,,,,,,NORMAL
71,PA21,,Available,,,,,,NORMAL
72,PA22,EXP_MISO,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
73,PA23,EXP_SCLK,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
74,PA24,EXP_MOSI,SERCOM3_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
75,PA25,,Available,,,,,,NORMAL
78,PB22,,Available,,,,,,NORMAL
79,PB23,INDEX,EIC_EXTINT7,Digital,High Impedance,n/a,No,No,NORMAL
80,PB24,,Available,,,,,,NORMAL
81,PB25,,Available,,,,,,NORMAL
82,PC24,,Available,,,,,,NORMAL
83,PC25,,Available,,,,,,NORMAL
84,PC26,,Available,,,,,,NORMAL
85,PC27,,Available,,,,,,NORMAL
86,PC28,,Available,,,,,,NORMAL
87,PA27,,Available,,,,,,NORMAL
89,PA28,,Available,,,,,,NORMAL
93,PA30,,Available,,,,,,NORMAL
94,PA31,,Available,,,,,,NORMAL
95,PB30,REELER_INT,GPIO,Digital,Out,Low,,,NORMAL
96,PB31,,Available,,,,,,NORMAL
97,PB00,,Available,,,,,,NORMAL
98,PB01,,Available,,,,,,NORMAL
99,PB02,,Available,,,,,,NORMAL
100,PB03,,Available,,,,,,NORMAL
